Agency,Date Migrated,System,Category,Document,Total,New,Updated,Migrated,Skipped,Time in minutes,Items/minute
Big Oak Ranch (Household),9-Feb,FC,Staff,F_THERAPIST,151,0,151,151,0,1,151
Big Oak Ranch (Household),9-Feb,FC,Clients,F_CLIENT,"1,959",11,"1,948","1,959",0,34,68.3
Big Oak Ranch (Household),9-Feb,FC,Assign Staff > Clients,F_CLIENT,754,0,708,708,46,22,32.2
Big Oak Ranch (Household),9-Feb,FC,Homes,F_PROVIDER,352,0,352,352,0,6,58.7
Big Oak Ranch (Household),9-Feb,FC,Placements,F_PLACEMENT,571,0,403,403,168,11,36.6
Big Oak Ranch (Household),9-Feb,FC,Medications,F_MEDICATION,"1,211",0,"1,184","1,184",27,5,236.8
Big Oak Ranch (Household),9-Feb,FC,ICD,F_CLIENT,151,0,150,150,1,6,25
Big Oak Ranch (Household),9-Feb,FC,Case People,F_RELATIONSHIP,"1,160",0,995,995,165,3,331.7
Big Oak Ranch (Household),9-Feb,FC,Home People,F_HOUSEMEMBER,52,0,50,50,2,1,50
Big Oak Ranch (Household),9-Feb,FC,Staff Training,F_THERAPIST_TRAINING,"1,836",0,"1,713","1,713",123,4,428.3
Big Oak Ranch (Household),9-Feb,FC,Professionals to Add…,F_CONTACT,68,0,68,68,0,0.5,136
Big Oak Ranch (Other Residence),9-Feb,FC,Clients,F_CLIENT,23,0,23,23,0,1,23
Big Oak Ranch (Other Residence),9-Feb,FC,Assign Staff > Clients,F_CLIENT,754,0,708,708,46,24,29.5
Big Oak Ranch (Other Residence),9-Feb,FC,Homes,F_PROVIDER,176,0,176,176,0,2,88
Big Oak Ranch (Other Residence),9-Feb,FC,Placements,F_PLACEMENT,571,0,403,403,168,12,33.6
Big Oak Ranch (Other Residence),9-Feb,FC,Medications,F_MEDICATION,"1,211",0,"1,184","1,184",27,5,236.8
Big Oak Ranch (Other Residence),9-Feb,FC,ICD,F_CLIENT,151,0,150,150,1,6,25
Big Oak Ranch (Other Residence),9-Feb,FC,Case People,F_RELATIONSHIP,"1,160",0,995,995,165,4,248.8
Big Oak Ranch (Other Residence),9-Feb,FC,Home People,F_HOUSEMEMBER,52,0,50,50,2,1,50
Big Oak Ranch (Other Residence),9-Feb,FC,Staff Training,F_THERAPIST_TRAINING,"1,836",0,"1,713","1,713",123,5,342.6
Big Oak Ranch (Other Residence),9-Feb,FC,Professionals to Add…,F_CONTACT,68,0,68,68,0,0.5,136
Palmer Home (Household),1/11/2023,FC,Clients,F_CLIENT,429,0,429,429,0,20,21.5
Palmer Home (Household),1/11/2023,FC,Assign Staff > Clients,F_CLIENT,104,0,104,104,0,3,34.7
Palmer Home (Household),1/11/2023,FC,Homes,F_PROVIDER,131,0,131,131,0,2,65.5
Palmer Home (Household),1/11/2023,FC,Placements,F_PLACEMENT,"1,681",0,"1,603","1,603",78,50,32.1
Palmer Home (Household),1/11/2023,FC,Medications,F_MEDICATION,428,0,425,425,3,2,212.5
Palmer Home (Household),1/11/2023,FC,Goals,F_GOAL,389,0,381,381,8,2,190.5
Palmer Home (Household),1/11/2023,FC,Case People,F_RELATIONSHIP,449,0,444,444,5,0.5,888
Palmer Home (Household),1/11/2023,FC,Home People,F_HOUSEMEMBER,30,0,23,23,7,0.5,46
Palmer Home (Household),1/11/2023,FC,Caregiver Training,F_HOME_ACTIVITY,9,0,0,0,9,0.5,0
Palmer Home (Household),1/11/2023,FC,Staff Training,F_THERAPIST_TRAINING,9,0,0,0,9,0.5,0
Palmer Home (Household),1/11/2023,FC,Professionals to Add…,F_CONTACT,17,0,17,17,0,0.5,34
Palmer Home (Other Residence),1/11/2023,FC,Clients,F_CLIENT,"1,608",8,"1,600","1,608",0,80,28
Palmer Home (Other Residence),1/11/2023,FC,Assign Staff > Clients,F_CLIENT,104,0,66,66,38,0.5,132
Palmer Home (Other Residence),1/11/2023,FC,Homes,F_PROVIDER,74,0,74,74,0,1,74
Palmer Home (Other Residence),1/11/2023,FC,Placements,F_PLACEMENT,"1,681",0,1603,"1,603",78,50,32.1
Palmer Home (Other Residence),1/11/2023,FC,Medications,F_MEDICATION,428,0,425,425,3,2,212.5
Palmer Home (Other Residence),1/11/2023,FC,Goals,F_GOAL,389,0,381,381,8,2,190.5
Palmer Home (Other Residence),1/11/2023,FC,Case People,F_RELATIONSHIP,449,0,444,444,5,2,222
Palmer Home (Other Residence),1/11/2023,FC,Home People,F_HOUSEMEMBER,30,0,23,23,7,1,23
Palmer Home (Other Residence),1/11/2023,FC,Professionals to Add..,F_CONTACT,18,0,18,18,0,0.5,36
Hope Children's Home,1/18/2023,FC,Clients,F_CLIENT,342,7,335,342,0,14,30.9
Hope Children's Home,1/18/2023,FC,Assign Staff > Clients,F_CLIENT,619,0,280,280,339,17,16.5
Hope Children's Home,1/18/2023,FC,Homes,F_PROVIDER,11,0,22,22,-11,1,22
Hope Children's Home,1/18/2023,FC,Placements,F_PLACEMENT,760,0,311,311,449,9,34.6
Hope Children's Home,1/18/2023,FC,Medications,F_MEDICATION,563,0,404,404,159,1,404
Hope Children's Home,1/18/2023,FC,Goals,F_GOAL,133,0,117,117,16,1,117
Hope Children's Home,1/18/2023,FC,Case People,F_RELATIONSHIP,2,0,1,1,1,0.5,2
Hope Children's Home,1/18/2023,FC,Home People,F_HOUSEMEMBER,4,0,4,4,0,0.5,8
Hope Children's Home,1/18/2023,FC,Staff Training,F_THERAPIST_TRAINING,"1,169",0,"1,031","1,031",138,4,257.8
City of Irvine PD,1/24/2023,GCM,Staff,F_THERAPIST,17,0,17,17,0,0.5,34
City of Irvine PD,1/24/2023,GCM,Clients,F_CLIENT,"2,583",0,"2,583","2,583",0,24,107.6
City of Irvine PD,1/24/2023,GCM,Assign Staff > Clients,F_CLIENT,"2,330",0,"2,086","2,086",244,39,53.5
City of Irvine PD,1/24/2023,GCM,Case People,F_RELATIONSHIP,708,0,639,639,69,4,159.8
GraceWood (Clients),1/26/2023,FC,Staff,F_THERAPIST,30,0,30,30,0,0.5,60
GraceWood (Clients),1/26/2023,FC,Clients,F_CLIENT,491,0,491,491,0,18,27.3
GraceWood (Clients),1/26/2023,FC,Homes,F_PROVIDER,7,0,7,7,0,0.5,14
GraceWood (Clients),1/26/2023,FC,Placements,F_PLACEMENT,509,0,189,189,320,7,27
GraceWood (Clients),1/26/2023,FC,Medications,F_MEDICATION,54,0,52,52,2,1,52
GraceWood (Clients),1/26/2023,FC,Goals,F_GOAL,10,0,1,1,9,0.5,2
GraceWood (Clients),1/26/2023,FC,Case People,F_RELATIONSHIP,99,0,96,96,3,1,96
GraceWood (Families),1/26/2023,FC,Families,F_CLIENT,263,0,263,263,0,13,20.2
GraceWood (Families),1/26/2023,FC,Homes,F_PROVIDER,7,0,7,7,0,0.5,14
GraceWood (Families),1/26/2023,FC,Placements,F_PLACEMENT,268,0,194,194,74,6,32.3
GraceWood (Families),1/26/2023,FC,Family Case People,F_RELATIONSHIP,423,0,410,410,13,2,205
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Staff,F_THERAPIST,252,1,251,252,0,1,252
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Clients,F_CLIENT,"4,505",14,4491,"4,505",0,75,73.9
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Assign Staff > Clients,F_CLIENT,421,0,323,323,98,23,14
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Homes,F_PROVIDER,11,0,11,11,0,0.5,22
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Assign Staff > Homes,F_PROVIDER,421,0,46,46,375,1,46
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Placements,F_PLACEMENT,"2,263",0,"2,237","2,237",26,66,33.9
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Medications,F_MEDICATION,"1,768",0,"1,763","1,763",5,9,195.9
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,ICD,F_CLIENT,311,0,307,307,4,14,21.9
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Case People,F_RELATIONSHIP,567,0,561,561,6,4,140.3
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Home People,F_HOUSEMEMBER,269,0,54,54,215,1,54
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Caregiver Training,F_HOME_ACTIVITY,6,0,6,6,0,0.5,12
Elks Aidmore (Active) (Other Residence),2/8/2023,FC,Professionals to Add…,F_CONTACT,59,0,59,59,0,0.5,118
Elks Aidmore (Active) (Household),2/8/2023,FC,Clients,F_CLIENT,"9,709",43,"9,666","9,709",0,165,101.6
Elks Aidmore (Active) (Household),2/8/2023,FC,Assign Staff > Clients,F_CLIENT,421,0,323,323,98,24,13.5
Elks Aidmore (Active) (Household),2/8/2023,FC,Homes,F_PROVIDER,310,1,309,310,0,4,78.3
Elks Aidmore (Active) (Household),2/8/2023,FC,Assign Staff > Homes,F_PROVIDER,421,0,46,46,375,2,23
Elks Aidmore (Active) (Household),2/8/2023,FC,Placements,F_PLACEMENT,"2,263",0,"2,240","2,240",23,65,34.5
Elks Aidmore (Active) (Household),2/8/2023,FC,Medications,F_MEDICATION,"1,768",0,"1,763","1,763",5,10,176.3
Elks Aidmore (Active) (Household),2/8/2023,FC,ICD,F_CLIENT,311,0,307,307,4,15,20.5
Elks Aidmore (Active) (Household),2/8/2023,FC,Case People,F_RELATIONSHIP,567,0,561,561,6,3,187
Elks Aidmore (Active) (Household),2/8/2023,FC,Home People,F_HOUSEMEMBER,269,0,54,54,215,1,54
Elks Aidmore (Active) (Household),2/8/2023,FC,Caregiver Training,F_HOME_ACTIVITY,6,0,6,6,0,0.5,12
Elks Aidmore (Active) (Household),2/8/2023,FC,Professionals to Add…,F_CONTACT,59,0,59,59,0,0.5,118
Elks Aidmore (Inactive),2/8/2023,FC,Staff,F_THERAPIST,252,0,252,252,0,2,126
Elks Aidmore (Inactive),2/8/2023,FC,Clients,F_CLIENT,14,0,14,14,0,1,14
Elks Aidmore (Inactive),2/8/2023,FC,Medications,F_MEDICATION,"1,768",0,8,8,"1,760",0.5,16
Elks Aidmore (Inactive),2/8/2023,FC,ICD,F_CLIENT,311,0,2,2,309,0.5,4
Elks Aidmore (Inactive),2/8/2023,FC,Case People,F_RELATIONSHIP,567,0,1,1,566,0.5,2
Elks Aidmore (Inactive),2/8/2023,FC,Professionals to Add…,F_CONTACT,59,0,59,59,0,0.5,118
CeCe's Hope Center,5/9/2022,GCM,Clients,F_CLIENT,104,0,104,104,0,1,104
Agape (In Home),12/15/2021,GCM,Clients,F_CLIENT,"1,630",0,"1,630","1,630",0,5,326
Agape (In Home),12/15/2021,GCM,Medications,F_MEDICATION,"7,440",0,"6,493","6,493",947,2,"3,246.50"
Agape (In Home),12/15/2021,GCM,ICD,F_CLIENT,"4,516",0,"3,404","3,404","1,112",11,309.5
Agape (In Home),12/15/2021,GCM,Case People,F_RELATIONSHIP,"4,164",0,"3,019","3,019","1,145",14,215.6
Agape (Mental Health Support),12/15/2021,GCM,Clients,F_CLIENT,933,2,931,933,0,3,312.3
Agape (Mental Health Support),12/15/2021,GCM,Medications,F_MEDICATION,"7,440",6513,0,"6,513",927,9,"6,513.00"
Agape (Mental Health Support),12/15/2021,GCM,ICD,F_CLIENT,"4,516",0,"3,404","3,404","1,112",18,189.1
Agape (Mental Health Support),12/15/2021,GCM,Case People,F_RELATIONSHIP,"4,164",0,"3,019","3,019","1,145",22,137.2
Agape (Day Treatment),12/15/2021,GCM,Clients,F_CLIENT,"1,665",0,"1,665","1,665",0,4,416.3
Agape (Day Treatment),12/15/2021,GCM,Medications,F_MEDICATION,"7,440",1829,0,"1,829","5,611",2,"1,829.00"
Agape (Day Treatment),12/15/2021,GCM,ICD,F_CLIENT,"4,516",0,"2,216","2,216","2,300",8,277
Agape (Day Treatment),12/15/2021,GCM,Case People,F_RELATIONSHIP,"4,164",0,"1,969","1,969","2,195",11,179
Casa de Esperanza (Clients),10/5/2021,FC,Clients,F_CLIENT,469,0,469,469,0,12,39.1
Casa de Esperanza (Clients),10/5/2021,FC,Assign Staff > Clients,F_CLIENT,502,0,254,254,248,14,18.1
Casa de Esperanza (Clients),10/5/2021,FC,Homes,F_PROVIDER,117,0,117,117,0,1,117
Casa de Esperanza (Clients),10/5/2021,FC,Placements,F_PLACEMENT,821,0,542,542,279,8,67.8
Casa de Esperanza (Clients),10/5/2021,FC,Medications,F_MEDICATION,275,0,273,273,2,1,273
Casa de Esperanza (Clients),10/5/2021,FC,Case People,F_RELATIONSHIP,21,0,13,13,8,0.5,26
Casa de Esperanza (Clients),10/5/2021,FC,Home People,F_HOUSEMEMBER,167,0,81,81,86,0.5,162
Casa de Esperanza (Clients),10/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,568",0,375,375,"2,193",1,375
Casa de Esperanza (Clients),10/5/2021,FC,Professionals to Add…,F_CONTACT,1,0,1,1,0,0.5,2
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Clients,F_CLIENT,89,0,89,89,0,1,89
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Assign Staff > Clients,F_CLIENT,502,0,254,254,248,9,28.2
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Placements,F_PLACEMENT,821,0,542,542,279,1,542
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Medications,F_MEDICATION,275,0,273,273,2,1,273
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Case People,F_RELATIONSHIP,21,0,13,13,8,0.5,26
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Home People,F_HOUSEMEMBER,167,0,81,81,86,0.5,162
Casa de Esperanza (Clients: Adoption),10/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,568",0,375,375,"2,193",2,187.5
Casa de Esperanza (Families),10/5/2021,FC,Families,F_CLIENT,170,0,170,170,0,4,42.5
Casa de Esperanza (Families),10/5/2021,FC,Assign Staff > Families,F_CLIENT,502,0,254,254,248,9,28.2
Casa de Esperanza (Families),10/5/2021,FC,Placements,F_PLACEMENT,821,0,542,542,279,9,60.2
Casa de Esperanza (Families),10/5/2021,FC,Medications,F_MEDICATION,275,0,273,273,2,1,273
Casa de Esperanza (Families),10/5/2021,FC,Case People,F_RELATIONSHIP,892,0,466,466,426,1,466
Casa de Esperanza (Families),10/5/2021,FC,Home People,F_HOUSEMEMBER,167,0,81,81,86,0.5,162
Casa de Esperanza (Families),10/5/2021,FC,Staff Training,F_THERAPIST_TRAINING,"2,568",0,375,375,"2,193",1,375
Casa de Esperanza (Families),10/5/2021,FC,Professionals to Add…,F_CONTACT,1,0,1,1,0,0.5,2
Casa de Esperanza (Families),10/5/2021,GCM,Clients,F_CLIENT,180,1,179,180,0,2,90.5
Casa de Esperanza (Families),10/5/2021,GCM,Case People,F_RELATIONSHIP,892,0,506,506,386,1,506
Childplace (Residential),11/15/2021,FC,Clients,F_CLIENT,344,0,344,344,0,9,38.2
Childplace (Residential),11/15/2021,FC,Homes,F_PROVIDER,8,0,8,8,0,0.5,16
Childplace (Residential),11/15/2021,FC,Placements,F_PLACEMENT,480,0,301,301,179,5,60.2
Childplace (Residential),11/15/2021,FC,Medications,F_MEDICATION,"1,602",0,"1,600","1,600",2,3,533.3
Childplace (Residential),11/15/2021,FC,Goals,F_GOAL,"3,208",0,"2,749","2,749",459,4,687.3
Childplace (Residential),11/15/2021,FC,ICD,F_CLIENT,281,0,280,280,1,7,40
Childplace (Residential),11/15/2021,FC,Case People,F_RELATIONSHIP,647,0,490,490,157,1,490
Childplace (Residential),11/15/2021,FC,Home People,F_HOUSEMEMBER,34,0,0,0,34,0.5,0
Childplace (Residential),11/15/2021,FC,Staff Training,F_THERAPIST_TRAINING,"16,013",0,"15,354","15,354",659,28,548.4
Childplace (Foster Care),11/15/2021,FC,Clients,F_CLIENT,151,0,151,151,0,4,37.8
Childplace (Foster Care),11/15/2021,FC,Homes,F_PROVIDER,54,1,53,54,0,1,54
Childplace (Foster Care),11/15/2021,FC,Placements,F_PLACEMENT,480,0,151,151,329,2,75.5
Childplace (Foster Care),11/15/2021,FC,Medications,F_MEDICATION,"1,602",0,66,66,"1,536",1,66
Childplace (Foster Care),11/15/2021,FC,Goals,F_GOAL,"3,208",0,567,567,"2,641",1,567
Childplace (Foster Care),11/15/2021,FC,ICD,F_CLIENT,281,0,9,9,272,1,9
Childplace (Foster Care),11/15/2021,FC,Case People,F_RELATIONSHIP,647,0,182,182,465,1,182
Childplace (Foster Care),11/15/2021,FC,Home People,F_HOUSEMEMBER,34,0,19,19,15,1,19
Childplace (Foster Care),11/15/2021,FC,Staff Training,F_THERAPIST_TRAINING,"16,013",0,527,527,"15,486",3,175.7
Childrens Guild (TFC),10/5/2021,FC,Clients,F_CLIENT,"2,628",0,"2,628","2,628",0,19,138.3
Childrens Guild (TFC),10/5/2021,FC,Homes,F_PROVIDER,373,0,373,373,0,2,186.5
Childrens Guild (TFC),10/5/2021,FC,Placements,F_PLACEMENT,"1,032",0,780,780,252,14,55.7
Childrens Guild (TFC),10/5/2021,FC,Medications,F_MEDICATION,909,0,898,898,11,4,224.5
Childrens Guild (TFC),10/5/2021,FC,Goals,F_GOAL,28,0,22,22,6,0.5,44
Childrens Guild (TFC),10/5/2021,FC,ICD,F_CLIENT,440,0,433,433,7,14,30.9
Childrens Guild (TFC),10/5/2021,FC,Case People,F_RELATIONSHIP,468,0,462,462,6,3,154
Childrens Guild (TFC),10/5/2021,FC,Home People,F_HOUSEMEMBER,407,0,251,251,156,1,251
Childrens Guild (TFC),10/5/2021,FC,Professionals to Add…,F_CONTACT,94,0,94,94,0,1,94
Childrens Guild (TGH),10/5/2021,FC,Clients,F_CLIENT,665,0,665,665,0,7,95
Childrens Guild (TGH),10/5/2021,FC,Homes,F_PROVIDER,3,0,3,3,0,0.5,6
